"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3521","should modify user username","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - user data edition tests","tests/logged-in/edit-user-data.spec.ts","",""
"","3030","should navigate properly from main view to add article page","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
"","3087","should have correct username on navbar after logging","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","5156","register and save session","setup","2026-09-09","passed","2026-09-09","","tests/auth.setup.ts","",""
"","3366","should navigate from profile to user settings edit","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - user data edition tests","tests/logged-in/edit-user-data.spec.ts","",""
"","3514","should succesfully add article with all data","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
"","1887","should navigate from main viev to login page correctly","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","2980","should register successfully with valid credentials","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","1809","should navigate properly from main view to register page","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","2904","should have correct new username on the main page navbar after registration","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","3688","should login successfully with valid credentials","guest-tests","2026-09-09","passed","2026-09-09","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","4496","should successfully add comment on article","logged-in-tests","2026-09-09","passed","2026-09-09","Conduit - article details tests","tests/logged-in/article-details.spec.ts","",""
