"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3497","should login successfully with valid credentials","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","1967","should navigate from main viev to login page correctly","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","3234","should navigate properly from main view to add article page","logged-in-tests","2026-08-25","passed","2026-08-25","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
"","2833","should have correct new username on the main page navbar after registration","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","2873","should register successfully with valid credentials","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","1650","should navigate properly from main view to register page","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Register Tests","tests/guest/register.spec.ts","",""
"","4345","register and save session","setup","2026-08-25","passed","2026-08-25","","tests/auth.setup.ts","",""
"","2974","should have correct username on navbar after logging","guest-tests","2026-08-25","passed","2026-08-25","Conduit - Login Tests","tests/guest/login.spec.ts","",""
"","4381","should successfully add comment on article","logged-in-tests","2026-08-25","passed","2026-08-25","Conduit - article details tests","tests/logged-in/article-details.spec.ts","",""
"","3331","should succesfully add article with all data","logged-in-tests","2026-08-25","passed","2026-08-25","Conduit - Add article tests","tests/logged-in/add-article.spec.ts","",""
